retailer,sku,name,production_system,price,price_unit,price_per_egg,quantity,source,url
Alcampo,804318,AUCHAN Huevos de gallinas sueltas en el gallinero clase L y cat. A 12 uds. Producto Alcampo,barn,3.18,ud,0.27,12,SSR,https://www.compraonline.alcampo.es/products/auchan-huevos-de-gallinas-sueltas-en-el-gallinero-clase-l-y-cat-a-12-uds-producto-alcampo/804318
Alcampo,633548,PITAS Huevos de gallina en jaulas acondicionadas clase S 6 uds.,caged,1.0,ud,0.17,6,SSR,https://www.compraonline.alcampo.es/products/pitas-huevos-de-gallina-en-jaulas-acondicionadas-clase-s-6-uds/633548
Alcampo,228703,AUCHAN Huevos de gallinas sueltas en el gallinero clase L y cat. A 12 uds Producto Alcampo.,barn,2.27,ud,0.19,12,SSR,https://www.compraonline.alcampo.es/products/auchan-huevos-de-gallinas-sueltas-en-el-gallinero-clase-l-y-cat-a-12-uds-producto-alcampo/228703
Alcampo,947535,LA HUERTA DE GALLOCANTA Huevos de gallinas camperas clase M y categoria A 12 uds.,free_range,3.64,ud,0.3,12,SSR,https://www.compraonline.alcampo.es/products/la-huerta-de-gallocanta-huevos-de-gallinas-camperas-clase-m-y-categoria-a-12-uds/947535
Alcampo,220861,RUJAMAR Huevos de producción ecológica de categoría A y clase M-L 8 uds.,organic,3.75,ud,0.47,8,SSR,https://www.compraonline.alcampo.es/products/rujamar-huevos-de-producción-ecológica-de-categoría-a-y-clase-m-l-8-uds/220861
Alcampo,804418,AUCHAN Huevos de gallinas sueltas en el gallinero clase M y cat. A 12 uds. Producto Alcampo,barn,2.98,ud,0.25,12,SSR,https://www.compraonline.alcampo.es/products/auchan-huevos-de-gallinas-sueltas-en-el-gallinero-clase-m-y-cat-a-12-uds-producto-alcampo/804418
Alcampo,52155,PITAS Huevos de gallinas en jaulas acondicionadas clase L 12 uds.,caged,2.95,ud,0.25,12,SSR,https://www.compraonline.alcampo.es/products/pitas-huevos-de-gallinas-en-jaulas-acondicionadas-clase-l-12-uds/52155
Alcampo,677254,ALCAMPO CULTIVAMOS LO BUENO  Huevos de gallinas camperas clase L y cat. A 12 uds.,free_range,3.96,ud,0.33,12,SSR,https://www.compraonline.alcampo.es/products/alcampo-cultivamos-lo-bueno-huevos-de-gallinas-camperas-clase-l-y-cat-a-12-uds/677254
Alcampo,765110,AUCHAN Huevos de gallinas sueltas en el gallinero clase L - XL y cat. A 12 uds. Producto Alcampo,barn,4.27,ud,0.36,12,SSR,https://www.compraonline.alcampo.es/products/auchan-huevos-de-gallinas-sueltas-en-el-gallinero-clase-l-xl-y-cat-a-12-uds-producto-alcampo/765110
Alcampo,50994,PITAS Huevos de gallinas en jaulas acondicionadas clase M 12 Unidades,caged,2.89,ud,0.24,12,SSR,https://www.compraonline.alcampo.es/products/pitas-huevos-de-gallinas-en-jaulas-acondicionadas-clase-m-12-unidades/50994
Alcampo,916052,CORRAL DE MONEGROS Huevos de gallinas camperas clase M-L y cat. A 12 uds.,free_range,4.65,ud,0.39,12,SSR,https://www.compraonline.alcampo.es/products/corral-de-monegros-huevos-de-gallinas-camperas-clase-m-l-y-cat-a-12-uds/916052
Alcampo,797750,MONEGROS Huevos de producción ecológica clase M-L y categoría A 6 uds.,organic,2.99,ud,0.5,6,SSR,https://www.compraonline.alcampo.es/products/monegros-huevos-de-producción-ecológica-clase-m-l-y-categoría-a-6-uds/797750
Alcampo,428253,GRANJAS VILLARREAL Huevos de gallinas camperas clase M-L y cat. A 12 uds.,free_range,3.95,ud,0.33,12,SSR,https://www.compraonline.alcampo.es/products/granjas-villarreal-huevos-de-gallinas-camperas-clase-m-l-y-cat-a-12-uds/428253
Alcampo,99261,LOS FRESQUITOS Huevos de gallinas en jaulas acondicionadas de categoría A y clase M 10 uds.,caged,2.49,ud,0.25,10,SSR,https://www.compraonline.alcampo.es/products/los-fresquitos-huevos-de-gallinas-en-jaulas-acondicionadas-de-categoría-a-y-clase-m-10-uds/99261
Alcampo,257028,RUJAMAR Huevos de producción ecológica de categoria A y clase L-XL 6 uds.,organic,3.79,ud,0.63,6,SSR,https://www.compraonline.alcampo.es/products/rujamar-huevos-de-producción-ecológica-de-categoria-a-y-clase-l-xl-6-uds/257028
Alcampo,804431,AUCHAN Huevos de gallinas sueltas en el gallinero clase L y cat. A 6 uds. Producto Alcampo,barn,1.74,ud,0.29,6,SSR,https://www.compraonline.alcampo.es/products/auchan-huevos-de-gallinas-sueltas-en-el-gallinero-clase-l-y-cat-a-6-uds-producto-alcampo/804431
Alcampo,95204,CORRAL DE MONEGROS Huevos de gallinas camperas frescos clases M y L y cat. A  6 uds.,free_range,2.75,ud,0.46,6,SSR,https://www.compraonline.alcampo.es/products/corral-de-monegros-huevos-de-gallinas-camperas-frescos-clases-m-y-l-y-cat-a-6-uds/95204
